pk,movie_id,director_id
1,713704,1398631
2,502356,113901
3,502356,1719706
4,640146,59026
5,758323,1299642
6,447365,15218
7,868759,974
8,76600,2710
9,594767,1302082
10,385687,18865
11,1102776,2209601
12,677179,135651
13,934433,66681
14,934433,1039527
15,603692,40644
16,868985,76864
17,1037644,99096
18,882569,956
19,727340,73249
20,785759,2642445
21,948713,213107
22,420808,592493
23,1111140,1046465
24,493529,52935
25,493529,1236679
26,315162,1450348
27,842675,1100748
28,876969,928490
29,638974,59027
30,649609,144816
31,964980,880
32,654374,1962267
33,1085103,2244795
34,804150,9281
35,700391,1317685
36,700391,1317686
37,840326,145228
38,505642,1056121
39,283995,15218
40,1048300,103123
41,436270,59521
42,1008005,74661
43,816904,2044869
44,32516,1141803
45,579884,3356807
46,736790,1003190
47,997776,1262836
48,552688,15287
49,946310,108631
50,980078,3122176
51,447277,17633
52,1105014,2114488
53,1118721,83174
54,1033219,1231571
55,67308,548481
56,747355,2793694
57,44281,1044284
58,1104040,2440249
59,81774,239341
60,842945,3130361
61,876792,1654352
62,455476,80577
63,646389,58324
64,296271,131668
65,869626,1540069
66,849869,1293686
67,536554,1288796
68,631842,11614
69,994128,1679853
70,994128,2596472
71,758009,168667
72,943822,1827463
73,1114905,66914
74,983282,3977672
75,1079078,1479672
76,774752,15218
77,385128,58189
78,325358,35694
79,325358,35734
80,118340,15218
81,676710,57917
82,265712,43652
83,265712,1311591
84,634649,1293994
85,1011679,568324
86,1011679,935266
87,1023313,105574
88,384018,40684
89,616037,55934
90,1003579,90367
91,1003579,209181
92,620705,229482
93,701952,2615502
94,985939,90812
95,820232,1283010
96,361743,86270
97,1076605,1466590
98,875104,2336699
99,875104,2710465
100,1120558,545086
101,1084225,2081329
102,667538,1551545
103,635302,1283010
104,507086,930707
105,1003580,2927725
106,776835,1893545
107,843794,939147
108,984105,2114488
109,1013860,1181315
110,507250,81201
111,507250,2703938
112,168259,2127
113,337339,37932
114,453395,7623
115,842544,123879
116,299536,19271
117,299536,19272
118,458156,40644
119,675353,93364
120,966220,3518356
121,820067,1495399
122,1041513,1537535
123,873256,122670
124,766507,568322
125,676547,120245
126,668482,111807
127,1077280,1113994
128,736526,87877
129,676841,1472483
130,646385,66681
131,646385,1039527
132,1064841,3207326
133,411,5524
134,874745,1250472
135,937278,12995
136,988233,1420324
137,988233,3590438
138,1070629,1031603
139,585511,80672
140,663712,933176
141,884184,41041
142,324552,40644
143,414906,32278
144,826942,17884
145,850871,17649
146,988165,1670724
147,60898,81913
148,947938,4051565
149,1087040,2320901
150,899112,76927
151,650270,2000640
152,573171,80739
153,573171,80740
154,724495,71947
155,947704,1081309
156,947704,1125153
157,874743,1558201
158,829560,88253
159,829560,1192152
160,230622,570239
161,1121116,197
162,846433,1855425
163,964426,142005
164,198380,239315
165,555604,10828
166,555604,1245934
167,19995,2710
168,987257,146801
169,1058732,197
170,615656,137467
171,49046,221522
172,568124,76595
173,568124,1318201
174,785084,6431
175,823999,129627
176,823999,129628
177,438148,8023
178,508947,2009739
179,1072074,101233
180,345940,12962
181,1073413,588816
182,1026563,2562314
183,9453,58021
184,842942,1297488
185,1012404,1362698
186,157336,525
187,660653,2499096
188,718930,40684
189,653851,1485406
190,569094,89596
191,569094,1046497
192,569094,2451598
193,942199,545330
194,335787,91268
195,726274,1428818
196,983768,42309
197,829410,62941
198,882598,2218465
199,1058949,1504645
200,551271,53348
201,772515,1659084
202,1016121,11873
