id,name,profile_path
1398631,Lee Cronin,/9OIp9eF17h87lOCEe76vTBVOjVN.jpg
113901,Michael Jelenic,/y0tGxhXsvmxpXpFniUMyBEuAMvD.jpg
1719706,Aaron Horvath,/qJcOyIeIaVad3VXlREXpOlDpvt2.jpg
59026,Peyton Reed,/aucXNycAtFREMIKr6ikmHvd2Mmp.jpg
1299642,Julius Avery,/nK9ITHGuAWABC0q3fQUD4JQ9yQ1.jpg
15218,James Gunn,/2kFzvqCGeYBrgbuuvvyGE75d9gM.jpg
974,Dexter Fletcher,/yRI8MDB5sg8b8EZkzFz5cCBrnKL.jpg
2710,James Cameron,/9NAZnTjBQ9WcXAQEzZpKy4vdQto.jpg
1302082,David F. Sandberg,/10p2i4OW0JWAbnOb7yMLUEGdSqM.jpg
18865,Louis Leterrier,/pJl1hNtZOIxrdzQjwGlicWWGSXg.jpg
2209601,Morgan S. Dalibert,None
135651,Michael B. Jordan,/kfcn0yyEdN2aJfVaxW0NIoKVF4J.jpg
66681,Matt Bettinelli-Olpin,/segVE2POL8uJ13j29nZdIoF7RSU.jpg
1039527,Tyler Gillett,/puopb3xK23iJPQHmgJW0o2iggjh.jpg
40644,Chad Stahelski,/eRCryGwKDH4XqUlrdkERmeBWPo8.jpg
76864,Luis Estrada,/qr4lbyLVdEiUjow8S9rbH7fv650.jpg
99096,Brandon Slagle,None
956,Guy Ritchie,/9pLUnjMgIEWXi0mlHYzie9cKUTD.jpg
73249,Lee Jung-jae,/3h5Cfm0X8ohWn7psZkqdNWqXAHH.jpg
2642445,Pierre Tsigaridis,None
213107,Edward Bazalgette,/1gfOa6od3pMYvfH8GRhY2QU0nLp.jpg
592493,David Lowery,/86QPrv9y0Ienk6sqPmxz7HYqkJf.jpg
1046465,Raliegh Wilson,None
52935,John Francis Daley,/rKZL3e8gI2tQD6Kv0QojXK5sG4u.jpg
1236679,Jonathan M. Goldstein,/s1fwSaxlYvw3KdmRvT1ZSYhsEkJ.jpg
1450348,Joel Crawford,/3F60mZB4sGgB51jAIglwn6OrUgB.jpg
1100748,Frant Gwo,/wvRKczLxlqeDRMsJilWZpbHM9QA.jpg
928490,Camille Delamarre,/6ykyZBNRDNN6n8WEz7d2ghjF1Tu.jpg
59027,Jeremy Garelick,/w6iyqW5QUvADyqmxl2Kaxit5O9C.jpg
144816,Chris McKay,/mQ42IPTpYQUOHuaVj19O1rBaZx9.jpg
880,Ben Affleck,/aTcqu8cI4wMohU17xTdqmXKTGrw.jpg
1962267,Kye Jang-hyuk,None
2244795,Alexis Jacknow,/hCHqEMj8N02AGZIVjnpcqxqZpGU.jpg
9281,Elizabeth Banks,/zrkI1dYucpTM8Qydtrtro9MgQPb.jpg
1317685,Scott Beck,/AhRtX9KRTAVNFTAF9sKDQrlqJfE.jpg
1317686,Bryan Woods,/253lxpX7nAJIGWigf1XSyNxGlH8.jpg
145228,Jalmari Helander,/vqmzsl8dQpjiFklM40HGCSRAcis.jpg
1056121,Ryan Coogler,/40n61jOMzHpDSnzLBQOSEEWlxEw.jpg
15218,James Gunn,/2kFzvqCGeYBrgbuuvvyGE75d9gM.jpg
103123,Massimiliano Cerchi,None
59521,Jaume Collet-Serra,/s1MdlS2wnzfKevPfXK63V1qkwfI.jpg
74661,Víctor García,/nqBO7AHn6QS8ixc0PQlae4ySyi5.jpg
2044869,Juan Jesús García Galocha,None
1141803,Chin Man-Kei,None
3356807,Boris Chertkov,None
1003190,Jonás Cuarón,/xaUVbPyTdcX4K5PvCCNtipuGIXK.jpg
1262836,Kerry Shawcross,/m9VslXOCwLVYPQpnedlZqA21zuN.jpg
15287,Niki Caro,/ooJcmnhX9qJ0E7bCdSQCxr7JViH.jpg
108631,Pim van Hoeve,None
3122176,Rhys Frake-Waterfield,/sal2hyoJJIZWrzVVxf4eyzU9eaW.jpg
17633,Rob Marshall,/4cTHkbMpsHHNI23HP3RHNLFoPRz.jpg
2114488,Steven Lawson,None
83174,Jorge Colón,None
1231571,Noah Luke,None
548481,Christopher Sun,/9vjcvsYx33jvpUwdhmzxlGTp8jd.jpg
2793694,Lee Dae-gil,None
1044284,Férid Boughedir,/53hqwxWDK5WR2cgDe983wNwteDd.jpg
2440249,Jadesola Osiberu,None
239341,Gianfranco Mingozzi,None
3130361,Herbert James Winterstern,None
1654352,Yasuhito Kikuchi,None
80577,Tomek Baginski,/9XbvdXNL2sAojid4f5jv3VwW6FZ.jpg
58324,Jean-François Richet,/PipS4XiDbV0hDfhydX9p8PkqZh.jpg
131668,Nathan Frankowski,None
1540069,Dean Fleischer Camp,/oZTIL77jVfcz8iEQnYC892jvqY3.jpg
1293686,Byun Sung-hyun,None
1288796,Gerard Johnstone,/cdvpfGKHLchtOtoN8gtVWhSHabN.jpg
11614,M. Night Shyamalan,/tOhFWjauKvJgjCVLJFnhbBCZuxZ.jpg
1679853,Fernando González Gómez,None
2596472,Raúl Cerezo,/yipuuejOZaRlWQI9B0BGTBb4BkY.jpg
168667,Jason Moore,/iM4Dwtt8JSOYyZSgPOuBn89MWeu.jpg
1827463,Daniel Graham,None
66914,Manolo Cardona,/9hPHLgO9lINwZynrFywTG9ms8Jl.jpg
3977672,Franklin Ritch,/AdVMTgvPLcjCwNB80vpVCbzdaje.jpg
1479672,Ingvild Søderlind,None
15218,James Gunn,/2kFzvqCGeYBrgbuuvvyGE75d9gM.jpg
58189,Justin Lin,/w0ryazdt8iS3GBrjXfv0FIwvUGY.jpg
35694,Jason Friedberg,/8ezGNR28kmkbBc4jYE1vNgSF70t.jpg
35734,Aaron Seltzer,/q0NRPeY0cvmRZcolotLx39kv0El.jpg
15218,James Gunn,/2kFzvqCGeYBrgbuuvvyGE75d9gM.jpg
57917,Toby Genkel,None
43652,Takashi Yamazaki,/2NzSdgQcT7ZtK2YJHHc8Af6kFBL.jpg
1311591,Ryuichi Yagi,/tLR0yJZJjbKvaAHoYtZLLFJVimA.jpg
1293994,Jon Watts,/fkXChMX6CUXY1yOxBehAzvaTCl7.jpg
568324,Glenn Campbell,None
935266,Tammy Klein,/rpdP6Jr4YfQSySHH0AJcFfz5lou.jpg
105574,Adrián García Bogliano,None
40684,David Leitch,/qykhwWkXTAteD9yvsmItXh9LxCq.jpg
55934,Taika Waititi,/aH6MgwFhomAPNBRPyO2fhpU5kbk.jpg
90367,Sam Liu,/3u01dPeS4Us9sUFzwS8DzjA3udr.jpg
209181,Christopher Berkeley,None
229482,Kyle Patrick Alvarez,/ekXS99e5o1oDgQ5O9Y39fbJQW3J.jpg
2615502,Choi Min-II,None
90812,Scott Mann,/8WygpUzfdfztZQqxGE5zn3rCedJ.jpg
1283010,Haruo Sotozaki,/9SsLeBJkFluywq7YaEQiC9iIFBq.jpg
86270,Joseph Kosinski,/oWLUXWY0j8TYzwnf2wETYWO181S.jpg
1466590,Martín Duplaquet,None
2336699,Zhang Zhulin,None
2710465,Li Xijie,None
545086,Beto Gómez,/hXhdFP6FvQK79IOLukna94LJA36.jpg
2081329,Shal Ngo,None
